节点 ID,节点类型,通用属性 1：名称,通用属性 2：核心定义 / 职责（来自张小熊文档）,通用属性 3：关联模块 / 适配范围,个性化扩展字段 1：机构自定义属性,个性化扩展字段 2：机构标签（多选）,备注（必填 / 可选）
岗位 - 1,岗位,医助,全权负责客户对接、新客转化 + 复购、A 类客户长期续约，配合医生完成面诊与方案成交,客户管理、诊疗体系模块；适配所有医美机构,（例：单体店填 “兼网咨对接”，连锁填 “跨店客户协同”）,通用、连锁专属,必填
岗位 - 2,岗位,护士,负责接待配台、术后护理、客户效果跟踪、项目种草，含配台 / 责任 / 高级护士职级,诊疗体系、静态标准模块；适配所有医美机构,（例：光电机构填 “专属仪器配台”，注射机构填 “注射后护理专项”）,通用、光电机构专属,必填
岗位 - 3,岗位,店长,对门店经营结果负责，统筹客户管理、团队管理、店务标准化落地，含初 / 中 / 高级店长职级,全模块统筹；适配所有医美机构,（例：新店填 “兼新人带教”，老店填 “兼区域督导”）,通用、管理岗,必填
岗位 - 4,岗位,护士长,统筹治疗区管理、医疗合规、护士团队带教，对客户满意度和治疗效果交付负责,静态标准、诊疗体系模块；适配连锁 / 中大型机构,（例：填 “兼医疗合规迎检”“兼仪器维养管理”）,通用、连锁专属,可选
岗位 - 5,岗位,首诊医生,负责所有客户面诊、治疗效果交付，重点解决 A+B 类客户的持续诊疗,诊疗体系模块；适配所有医美机构,（例：填 “擅长综合抗衰”“专攻炎症肌治疗”）,通用、专科专属,可选
职级 - 1,职级,新手,入职≤3 个月，基础能力薄弱，需掌握核心概念和岗位基础操作,适配所有岗位；认知级要求,（例：机构自定义时长 “≤4 个月”，或补充 “无医美经验优先”）,通用、机构自定义,必填
职级 - 2,职级,进阶,入职 3-6 个月，掌握基础操作，需落地核心工作、提升业绩指标,适配所有岗位；应用级要求,（例：机构自定义时长 “4-8 个月”，或补充 “需独立完成核心工作”）,通用、机构自定义,必填
职级 - 3,职级,高阶,入职≥6 个月，业绩骨干，需统筹工作、带教新人、优化流程,适配所有岗位；统筹级要求,（例：机构自定义时长 “≥8 个月”，或补充 “需带教 2 名新人”）,通用、机构自定义,必填
知识点 - 1,知识点,5+7 诊疗体系,张小熊核心诊疗逻辑，含 5 大靶向（油痘肌 / 敏感肌等）+7 大技术产品，循证医学为核心,诊疗体系模块；适配医助 / 护士 / 医生 / 店长,（例：机构填 “新增 XX 专利技术适配”“区域合规调整”）,通用、张小熊专属,必填
知识点 - 2,知识点,12124 回访规则,客户效果跟踪核心流程：术后 1 天 / 2 天 / 1 周 / 2 周 / 4 周回访，强化效果共识,客户管理模块；适配医助 / 护士,（例：机构填 “新增会员专属回访话术”“缩短为 1-1-7 回访”）,通用、机构自定义,必填
知识点 - 3,知识点,客户管理 3 件事,治疗记录、定期回访、治疗邀约，核心目标是提升复购率和 A 客增长,客户管理模块；适配全岗位,（例：机构填 “新增老客转介绍激励规则”）,通用、机构自定义,必填
知识点 - 4,知识点,医疗合规,含无菌操作、医废管理、面诊合规、迎检要求，规避经营风险,静态标准模块；适配全岗位,（例：机构填 “区域医疗合规特殊要求”“新增设备合规记录”）,通用、区域专属,必填
知识点 - 5,知识点,标准化配台操作,护士核心技能，含术前准备、术中配合、术后护理，适配不同诊疗靶向,诊疗体系模块；适配护士,（例：机构填 “光电设备专属配台流程”“注射项目无菌要求”）,通用、光电机构专属,必填
院务模块 - 1,院务模块,客户管理,院务标准化核心模块，含老客经营、邀约管理、效果跟踪，目标是提升到院频次和复购率,适配全岗位；核心指标：A 客增长、邀约到院率,（例：机构填 “新增社群运营管理”“会员等级体系”）,通用、机构自定义,必填
